ticker,volume,open,close,high,low,window_start,transactions
O:ACHR250417C00010000,6111,1.52,1.52,1.81,1.22,1739250000000000000,561
O:ACHR250417C00011000,783,1.1,1.23,1.49,0.95,1739250000000000000,123
O:ACHR250417C00012000,2008,0.92,1.02,1.2,0.72,1739250000000000000,228
O:ACHR250417C00013000,241,0.75,0.82,0.99,0.62,1739250000000000000,49
O:ACHR250417C00014000,277,0.7,0.69,0.84,0.46,1739250000000000000,47
O:ACHR250417C00015000,1146,0.52,0.56,0.7,0.43,1739250000000000000,131
O:ACHR250417C00016000,78,0.4,0.47,0.57,0.36,1739250000000000000,22
O:ACHR250417C00017000,31,0.41,0.47,0.5,0.41,1739250000000000000,6
O:ACHR250417C00018000,69,0.3,0.39,0.42,0.3,1739250000000000000,20
O:ACHR250417C00019000,502,0.21,0.3,0.3,0.21,1739250000000000000,9
O:ACHR250417C00020000,252,0.23,0.3,0.41,0.19,1739250000000000000,32
O:ACHR250417P00003000,15,0.02,0.02,0.02,0.02,1739250000000000000,1
O:ACHR250417P00004000,2001,0.05,0.05,0.05,0.05,1739250000000000000,32
O:ACHR250417P00005000,21,0.14,0.13,0.14,0.12,1739250000000000000,4
O:ACHR250417P00006000,80,0.3,0.3,0.3,0.3,1739250000000000000,1
O:ACHR250417P00007000,103,0.47,0.59,0.59,0.46,1739250000000000000,24
O:ACHR250417P00008000,90,0.8,0.99,1,0.8,1739250000000000000,10
O:ACHR250417P00009000,413,1.15,1.47,1.52,1.06,1739250000000000000,32
O:ACHR250417P00010000,107,1.87,2.08,2.1,1.85,1739250000000000000,10
O:ACHR250417P00011000,73,2.51,2.8,2.8,2.51,1739250000000000000,11
O:ACHR250417P00012000,54,3.35,3.25,3.35,3.25,1739250000000000000,7
O:ACHR250417P00016000,2,7,7,7,7,1739250000000000000,1
O:ACHR250718C00001000,6,8.82,8.6,8.82,8.6,1739250000000000000,3
O:ACHR250718C00003000,21,6.83,6.5,6.83,6.5,1739250000000000000,4
O:ACHR250718C00004000,3,6.1,5.94,6.1,5.94,1739250000000000000,2
O:ACHR250718C00005000,6,4.95,5.35,5.35,4.7,1739250000000000000,4
O:ACHR250718C00006000,8,4.25,4.35,4.35,4.02,1739250000000000000,4
O:ACHR250718C00007000,161,3.85,3.58,3.95,3.45,1739250000000000000,42
O:ACHR250718C00008000,227,3.25,3.15,3.45,2.84,1739250000000000000,43
O:ACHR250718C00009000,424,2.71,2.65,3,2.43,1739250000000000000,78
O:ACHR250718C00010000,1580,2.3,2.34,2.66,2.02,1739250000000000000,281
O:ACHR250718C00011000,984,1.97,2.06,2.28,1.78,1739250000000000000,163
O:ACHR250718C00012000,3453,1.67,1.81,2.09,1.5,1739250000000000000,436
O:ACHR250718C00013000,98,1.44,1.62,1.8,1.3,1739250000000000000,43
O:ACHR250718C00014000,8485,1.5,1.42,1.65,1.4,1739250000000000000,628
O:ACHR250718C00015000,412,1.19,1.26,1.45,0.94,1739250000000000000,69
O:ACHR250718C00016000,12,1.03,1.31,1.31,1.03,1739250000000000000,7
O:ACHR250718C00017000,4,1.04,1.14,1.14,1.04,1739250000000000000,3
O:ACHR250718C00018000,18,0.82,0.99,1.02,0.82,1739250000000000000,7
O:ACHR250718C00019000,50,0.72,0.81,0.93,0.72,1739250000000000000,9
O:ACHR250718C00020000,191,0.64,0.76,0.89,0.58,1739250000000000000,41
O:ACHR250718P00003000,3,0.12,0.09,0.12,0.09,1739250000000000000,3
O:ACHR250718P00004000,1,0.2,0.2,0.2,0.2,1739250000000000000,1
O:ACHR250718P00005000,6,0.35,0.4,0.4,0.35,1739250000000000000,2
O:ACHR250718P00006000,23,0.65,0.71,0.71,0.65,1739250000000000000,4
O:ACHR250718P00007000,60,0.97,1.1,1.13,0.95,1739250000000000000,13
O:ACHR250718P00008000,41,1.34,1.64,1.64,1.34,1739250000000000000,21
O:ACHR250718P00009000,695,2.08,2.15,2.2,2.05,1739250000000000000,44
